source,target
panca66,PDemokrat
eddy_suryantono,agussylviDKI
haqi11official,maspiyuuu
haqi11official,jonru
haqi11official,MustofaNahra
panca66,r_rustombi
agusedyheriyan1,r_rustombi
BNdowor,TetapAhokDjarot
bambangelf,Heine_Nababan
panca66,Heine_Nababan
bagassjoss,agussylviDKI
bagassjoss,agussylviDKI
AdeKeren,Heine_Nababan
Ale00008,r_rustombi
chon2x,TetapAhokDjarot
arman451,Heine_Nababan
gatot30,AhyCenter
Danangriyan1,agussylviDKI
AgusFansClub_,Heine_Nababan
ariisyat,Heine_Nababan
ZaraZettiraZZ,Heine_Nababan
sohen66,ZaraZettiraZZ
dimasprakbar,Heine_Nababan
Lintank08,ZaraZettiraZZ
1MenujuDamai,AstoRiskon
alonwatonsuwe,Heine_Nababan
watson_katia,TetapAhokDjarot
suryasinarmaha,ZaraZettiraZZ
bratbret,Heine_Nababan
madsal_59,ZaraZettiraZZ
AndjasIsmail,PDemokrat
wongmendale,dimasprakbar
MakanSotoBetawi,PDemokrat
yuliananto_,AstoRiskon
sohen66,Heine_Nababan
HardyEmcd,ZaraZettiraZZ
yuliananto_,r_rustombi
yuliananto_,PDemokrat
madsal_59,Heine_Nababan
reynamhaque,monot0ne
SangSiang5,monot0ne
neocyclopentana,r_rustombi
reynamhaque,monot0ne
SangSiang5,monot0ne
SatyoAbdi,dimasprakbar
MarioSjono,dimasprakbar
dimasprakbar,MarioSjono
BennyMinarsono,panca66
Enggalpm,panca66
ulirhmn,Heine_Nababan
Zumpio,panca66
monethamrin,panca66
hasan_sujak,panca66
Hendra_Alamin,panca66
Jalutrojali,panca66
JhonnyAxvan,kangdede78
ulyaanjumi,dimasprakbar
TAnggadireja,Heine_Nababan
febrian_hardi,azissubekti
febrian_hardi,AgusYudhoyono
febrian_hardi,sylviana_murni
vertikality,r_rustombi
ayenzodearya,dimasprakbar
1MenujuDamai,dimasprakbar
tubagus_tarbia,ZaraZettiraZZ
bangcepe7,Heine_Nababan
muhfachmi13,Heine_Nababan
Aryanizafran,panca66
aris_apuesto,panca66
febrian_hardi,kulojowo
raynurhaq63,panca66
Bastiandws,AstoRiskon
ayenzodearya,panca66
aris_apuesto,Heine_Nababan
ulil,panca66
embah72,haloJakarta
tubagus_tarbia,Heine_Nababan
rujack_xingur,dimasprakbar
ulil,PDemokrat
aleerock5,AhyCenter
bon_nugroho,Heine_Nababan
aleerock5,AhyCenter
dewkemalahayati,Heine_Nababan
febrian_hardi,AhyCenter
monethamrin,AhyCenter
mydarisman,TangkapJasmev
bajigurceleng,dimasprakbar
Tornado15536354,panca66
febrian_hardi,AhyCenter
1MenujuDamai,panca66
Enggalpm,AhyCenter
zainulmualifin,panca66
suryasinarmaha,PDemokrat
Danangriyan1,agussylviDKI
febrian_hardi,AhyCenter
pesawaran,Lampungkurir
pendaki_liar411,pollmarket
pendaki_liar411,pollmarket
panlovers19,azissubekti
panlovers19,AgusYudhoyono
panlovers19,sylviana_murni
pesawaran,hasrat_tanjung
SagaMerahSaga,AhyCenter
bagassjoss,AhyCenter
rujack_xingur,AhyCenter
KalumbatangStrt,Heine_Nababan
AhyCenter,sylviana_murni
Hendra_Alamin,AhyCenter
crewagusasy,AhyCenter
crewagusasy,sylviana_murni
aleerock5,AgusYudhoyono
aleerock5,sylviana_murni
kulojowo,AhyCenter
DivHumasHansip,Janabachri
Yas_Pyu,bumi_rangga
jokoselong,AhyCenter
jokoselong,sylviana_murni
Lampungkurir,hasrat_tanjung
arif253162,bumi_rangga
swulll,dimasprakbar
karib_ahy,kulojowo
BankKambing,hasrat_tanjung
liputan6,haloJakarta
Tornado15536354,Janabachri
Aryanizafran,Janabachri
fynda34,Heine_Nababan
PradityaBeni,panca66
bumi_rangga,Yas_Pyu
bumi_rangga,bumi_rangga
ToniMetalcrott,panca66
Kenzmeat,hasrat_tanjung
terminalagribis,hasrat_tanjung
wisat,Heine_Nababan
anatiatia03,agusdansylvi
ian_fals,kangdede78
wisanggeni_11,haloJakarta
shantysya,Tami_Thinker
didiklpambudi,AhyCenter
Heine_Nababan,topelucky
didiklpambudi,AhyCenter
didiklpambudi,sylviana_murni
Maria_Wong99,aniesbaswedan
Maria_Wong99,JktMajuBersama
Maria_Wong99,aniesbaswedan
Maria_Wong99,JktMajuBersama
MehbobKler,AstoRiskon
yudihendra72,panca66
maspiyuuu,Heine_Nababan
Tegapharjadmo,r_rustombi
bibin_bey,Heine_Nababan
Adhelicious91,aniesbaswedan
Adhelicious91,JktMajuBersama
jhonatminartha,kangdede78
yurikaa_dr,Heine_Nababan
panca66,DjenRizal
Jovita_SHN,aniesbaswedan
Jovita_SHN,JktMajuBersama
Maria_Wong99,aniesbaswedan
Maria_Wong99,JktMajuBersama
maz_doels,azissubekti
maz_doels,AgusYudhoyono
maz_doels,sylviana_murni
riffki40,panca66
tfelicitas,agusdansylvi
BuiKoruptor,FirdownyArkhan
cah_ganteng80,jajatpks81
noihanaphi,Heine_Nababan
johnymneumonics,Heine_Nababan
duluwismapi1,Heine_Nababan
iwanridw2603,Heine_Nababan
maz_doels,Heine_Nababan
AstoRiskon,ZaraZettiraZZ
AstoRiskon,AlrasyidWier
AstoRiskon,zamzami59
Jalutrojali,DjenRizal
MarioSjono,Bangsa2000
maulana_andha,kangdede78
nyimaswati291,lj_ican
AlfatihHs,AhyCenter
deny0902,Maria_Wong99
deny0902,aniesbaswedan
deny0902,Jovita_SHN
deny0902,aniesbaswedan
damaramadhan,panca66
antonio_glory,PakarLogika
sophyan0506,panca66
nyimaswati291,Bangsa2000
rujack_xingur,DjenRizal
suryasinarmaha,panca66
candysatrio,dimasprakbar
kopicazador,dimasprakbar
DarmawanIswanto,AstoRiskon
sophyan0506,Bangsa2000
sophyan0506,dimasprakbar
rusfery,agusdansylvi
rusfery,agusdansylvi
rusfery,Bangsa2000
Enggalpm,Bangsa2000
rusfery,AhyCenter
clusterpermata,AhyCenter
dzikrimarifatul,AstoRiskon
JagaAgusSylvi,AstoRiskon
JuliaOmpusunggu,TetapAhokDjarot
GARUDA_AHY,Heine_Nababan
Lukmanul438,AstoRiskon
gatot30,Heine_Nababan
Lukmanul438,agussylviDKI
karib_ahy,AstoRiskon
Lukmanul438,SINDOnews
yuliamulya,dienak_in
cabai_,dienak_in
BeritaPAN,AstoRiskon
am_osami,Heine_Nababan
oemfar,PDemokrat
am_osami,panca66
MRahmatM212,NetizenTofa
kkvrindhavan,Heine_Nababan
kemalarsjad,PokijanAcil
dendysaja,AstoRiskon
oemfar,panca66
oemfar,AhyCenter
abenk7ponel,r_rustombi
Adot1998,dimasprakbar
rujack_xingur,SINDOnews
rujack_xingur,agussylviDKI
am_osami,kulojowo
rujack_xingur,AstoRiskon
gemulai123,agussylviDKI
Anna_ml212,rico_febrian65r
2017Ahok,haloJakarta
MehbobKler,AstoRiskon
RomaNesia,PokijanAcil
am_osami,AhyCenter
laodesahrulan,Heine_Nababan
PakarLogika,LaksmonoHp
PakarLogika,SBYudhoyono
arif_arosyid,panca66
Tornado15536354,agusdansylvi
Adindaputri865,edoWija51613267
Ridharesspaty,edoWija51613267
Yengki9000,ZaraZettiraZZ
tya_subiakto,dimasprakbar
bangmis,dimasprakbar
29ayunanda,agussylviDKI
29mubarok,agussylviDKI
29ramdani,agussylviDKI
AlifaKhoerunisa,agussylviDKI
29keLvinchand,agussylviDKI
AlaskoNuri,agussylviDKI
AgestiSabrina,agussylviDKI
29anisafeb,agussylviDKI
29okim,agussylviDKI
29yudisan,agussylviDKI
29Prabowo,agussylviDKI
29Maul,agussylviDKI
AlfatahHaikal,agussylviDKI
29sintadari,agussylviDKI
desvuri,agussylviDKI
29Alfatah,agussylviDKI
AresyaResti,agussylviDKI
AlbertoBems,agussylviDKI
VidiAnisa1,agussylviDKI
RahmiSalsa1,agussylviDKI
FeriantoAdrian,agussylviDKI
AlfaruqZakaria,agussylviDKI
29agustinkris,agussylviDKI
29saefulanwar,agussylviDKI
NadyaRahayu11,agussylviDKI
29Zahrazizah,agussylviDKI
SundariRima,agussylviDKI
SabilaArafah,agussylviDKI
teguh_jonatan,agussylviDKI
SilviaSukma6,agussylviDKI
EchaMarisa4,agussylviDKI
rizkiramadhand3,agussylviDKI
SintiaAprilia18,agussylviDKI
melinda_arin,agussylviDKI
AlfinSidik1,agussylviDKI
NKRI1745,DjenRizal
NKRI1745,r_rustombi
ZaraZettiraZZ,cumarachel
Djalal54243264,edoWija51613267
pbrch,SBYudhoyono
pbrch,AhyCenter
syifafadillahhh,agussylviDKI
adindaa_kirana,agussylviDKI
AnisaSuu,agussylviDKI
ClarissaaZhr,agussylviDKI
adityarizzzki,agussylviDKI
AstridAzza11,agussylviDKI
ahmad__murodi,agussylviDKI
denissabillaa,agussylviDKI
DaniDanipaulo01,agussylviDKI
jonilubis0011,agussylviDKI
Aprilia11Olivia,agussylviDKI
imania_yulia,agussylviDKI
DianPatriciaa,agussylviDKI
DewiDevianaa,agussylviDKI
iqbalmaulana004,agussylviDKI
HidayahFaid,agussylviDKI
dinaazatulini,agussylviDKI
MuthiaKamilia,agussylviDKI
JuliantiEmira,agussylviDKI
MandaNdoro,agussylviDKI
ninnaard,agussylviDKI
ElsSabilla,agussylviDKI
AnnaJessss,agussylviDKI
lalaanggraini01,agussylviDKI
Haniranjanii,agussylviDKI
kayla_sasmita,agussylviDKI
AnjaniApriliaa1,agussylviDKI
nelly_h001,agussylviDKI
nabillarahma111,agussylviDKI
KarinAnjaniii,agussylviDKI
SyellaAMD,agussylviDKI
OgeNunung,agussylviDKI
irfannazzmi,agussylviDKI
RaniFitriaSH,agussylviDKI
RaisaaaPUT,agussylviDKI
SyihabAirin,agussylviDKI
salwafauziaah,agussylviDKI
NasyaAMD,agussylviDKI
martinsitompul7,agussylviDKI
vira_zafira,agussylviDKI
TiaraaaZH,agussylviDKI
LilyLazuardi,agussylviDKI
RezianaSalma,agussylviDKI
syifafadillahhh,agussylviDKI
adityarizzzki,agussylviDKI
adindaa_kirana,agussylviDKI
AnisaSuu,agussylviDKI
ElsSabilla,agussylviDKI
DewiDevianaa,agussylviDKI
jonilubis0011,agussylviDKI
Nadinesilvanaa,agussylviDKI
lindan_saputra,agussylviDKI
denissabillaa,agussylviDKI
MuthiaKamilia,agussylviDKI
DaniDanipaulo01,agussylviDKI
LilyLazuardi,agussylviDKI
irfannazzmi,agussylviDKI
HidayahFaid,agussylviDKI
Haniranjanii,agussylviDKI
OgeNunung,agussylviDKI
AnnaJessss,agussylviDKI
MandaNdoro,agussylviDKI
vanilla_fani,agussylviDKI
kayla_sasmita,agussylviDKI
AstridAzza11,agussylviDKI
RaniFitriaSH,agussylviDKI
AnjaniApriliaa1,agussylviDKI
dinaazatulini,agussylviDKI
HannaSvy,agussylviDKI
nabillarahma111,agussylviDKI
salwafauziaah,agussylviDKI
syillaputri_,agussylviDKI
iqbalmaulana004,agussylviDKI
ahmad__murodi,agussylviDKI
ninnaard,agussylviDKI
Aprilia11Olivia,agussylviDKI
martinsitompul7,agussylviDKI
ClarissaaZhr,agussylviDKI
imania_yulia,agussylviDKI
RezianaSalma,agussylviDKI
KarinAnjaniii,agussylviDKI
SyellaAMD,agussylviDKI
vira_zafira,agussylviDKI
SyihabAirin,agussylviDKI
SySwara,agussylviDKI
DianPatriciaa,agussylviDKI
lalaanggraini01,agussylviDKI
andy_suryawa37s,AYOJakarta2017
jokoselong,ZaraZettiraZZ
jokoselong,AjengCute16
wartakotalive,wartakotalive
assihhidayati,GARUDA_AHY
assihhidayati,Umar_Hasibuan
joennaputra87,dimasprakbar
KosasihCindy,Heine_Nababan
Ridharesspaty,Berjuang12344
DudeChan29,AhyCenter
kardinal5dekarl,azissubekti
kardinal5dekarl,AgusYudhoyono
kardinal5dekarl,sylviana_murni
abenk7ponel,ZaraZettiraZZ
abenk7ponel,cumarachel
hamdan_0111,agussylviDKI
maz_doels,ododio12
JoJr33033215,Heine_Nababan
Yusufagung94,akbaaa245
Yusufagung94,tatatalitaaa
Yusufagung94,dytta_oliv
Yusufagung94,dissyamira
Yusufagung94,dinasofiya89
Yusufagung94,dindaarini95
Yusufagung94,Difakatrina78
Yusufagung94,davinariana
ChyntiaChusnul,AYOJakarta2017
t_timandrew,Heine_Nababan
omat1411,putra131093
soe_hok_kiplie,davinariana
soe_hok_kiplie,Difakatrina78
soe_hok_kiplie,dindaarini95
soe_hok_kiplie,dinasofiya89
soe_hok_kiplie,dissyamira
Diditaksa1,AstoRiskon
Tornado15536354,dinasofiya89
ChyntiaChusnul,AYOJakarta2017
Tornado15536354,dirsamaria
MDendyan,Heine_Nababan
soe_hok_kiplie,dytta_oliv
soe_hok_kiplie,tatatalitaaa
1MenujuDamai,jokoselong
Umar_Hasibuan,panca66
ChyntiaChusnul,AYOJakarta2017
ChyntiaChusnul,AYOJakarta2017
kulojowo,AstoRiskon
atahbob,dimasprakbar
bbbbbhhhhhmm,tatatalitaaa
fachrimuharam,hattarajasa
fachrimuharam,korantempo
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
fachrimuharam,sylviana_murni
fachrimuharam,AYOJakarta2017
omat1411,AYOJakarta2017
omat1411,AgusYudhoyono
omat1411,sylviana_murni
ChyntiaChusnul,AYOJakarta2017
ChyntiaChusnul,AYOJakarta2017
ChyntiaChusnul,AYOJakarta2017
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
MadaniAri,MadaniAri
MadaniAri,AgusFansClub_
acepaamiruddin,AgusYudhoyono
acepaamiruddin,sylviana_murni
acepaamiruddin,hattarajasa
acepaamiruddin,SBYudhoyono
jokoselong,didienAZHAR
elishaM_sha,shalsaauliaa
ChyntiaChusnul,AYOJakarta2017
Yusufagung94,ChyntiaChusnul
Yusufagung94,AYOJakarta2017
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
dellyocta,AYOJakarta2017
dellyocta,AgusYudhoyono
dellyocta,sylviana_murni
dellyocta,hattarajasa
SusanSyaza,PakarLogika
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
ChyntiaChusnul,AYOJakarta2017
Yusufagung94,ChyntiaChusnul
Yusufagung94,AYOJakarta2017
omat1411,AYOJakarta2017
omat1411,AgusYudhoyono
omat1411,sylviana_murni
Yusufagung94,ChyntiaChusnul
Yusufagung94,AYOJakarta2017
ToujoursBelle84,SINDOnews
Yusufagung94,omat1411
Yusufagung94,AYOJakarta2017
Yusufagung94,AgusYudhoyono
Yusufagung94,sylviana_murni
Yusufagung94,fachrimuharam
Yusufagung94,sylviana_murni
Yusufagung94,AYOJakarta2017
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
ucimucim,DODDI_F
t_timandrew,topelucky
RudyNico,PakarLogika
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
Yusufagung94,shalsaauliaa
risdaaayyy,AYOJakarta2017
kusdia41,AhyCenter
kusdia41,AhyCenter
kusdia41,sylviana_murni
tubagus_tarbia,dimasprakbar
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
aditiaade,sylviana_murni
aditiaade,hattarajasa
omat1411,AYOJakarta2017
omat1411,AgusYudhoyono
omat1411,sylviana_murni
dikaamahestaa,tatatalitaaa
Tornado15536354,dellyocta
Tornado15536354,AYOJakarta2017
Tornado15536354,AgusYudhoyono
Tornado15536354,sylviana_murni
Tornado15536354,hattarajasa
dikaamahestaa,dinasofiya89
dikaamahestaa,diana_laras90
fadila34r,fachri_risti48r
omat1411,AYOJakarta2017
omat1411,AgusYudhoyono
omat1411,sylviana_murni
achmadshah,panca66
aditiaade,AYOJakarta2017
aditiaade,AgusYudhoyono
lj_ican,AYOJakarta2017
omat1411,AYOJakarta2017
omat1411,AgusYudhoyono
Adot1998,omat1411
Adot1998,AYOJakarta2017
Adot1998,AgusYudhoyono
Adot1998,sylviana_murni
lj_ican,AYOJakarta2017
omat1411,AYOJakarta2017
omat1411,AgusYudhoyono
omat1411,sylviana_murni
ayuarani,AYOJakarta2017
MMaulana_Iqbal,hattarajasa
SalmanAfaridzi,omat1411
SalmanAfaridzi,AYOJakarta2017
SalmanAfaridzi,AgusYudhoyono
