id,keyword,location,text,sentiment
1,,,asik banget dapat wifinya @45>ptk,1
4,,,menyenangkan trip nyaman wifi perjalanan @##,1
5,,,yo !!! terima kasih seharian setia supir pribadi ,1
6,,,iya nih pasti bersih 100%,1
7,,,terima kasih atas responnya :),1
8,,,terima kasih bantuannya grab :>,1
10,,,terima kasih diskon seharian 15 jam nonstop,1
13,,,pake coba gratis grab gratis,1
14,,, makasih infonya mudah dimengerti ,1
15,,,salut drivernya,1
16,,,bonus enak terima kasih grab ,1
17,,,user friendly,1
18,,,trip nyaman wifi perjalanan,1
19,,, top up grabpay alfamart sistem eror ,0
20,,,aplikasi grab force close diuninstall install lagi kenapa ,0
23,,,grabcar susah masuk wilayah rumah ,0
24,,, cancel booking grab car solusinya gimana,0
25,,, habis upgrde aplikasi ko log in berkali masukin kode ,0
26,,,tolong ditindak lanjuti berkali cancel persulit cancel alasan barangnya habis,0
28,,, dipakai saldonya mohon dicek ,0
31,,,aplikasi grab tidak bisa klik,0
32,,,halo applikasi grab ketutup setelah order grabfood hub drivernya,0
33,,, pesen grabfoodkdg app open tp aslinya close driver nya suka kayak bete gitu ditelfon seolah kita salah ,0
34,,,halo kemarin jam segini pesan grab failed contact the grab server pagi ,0
36,,,server penuh susah bener,0
37,,, sekarang grab tidak ada aplikasi chat online nya ,0
38,,, jam segini susah nyari grab profesional ,0
39,,,tidak direkomendasikan top up grab pay suruh nunggu hari kerja konfirmasi saldonya,0
40,,,min connect jaringan app grab lagi error saya mau buka app nya langsung close lagi sendiri ya ,0
41,,,saya tidak bisa pilih pembayaran grabpay saya sudah daftar dan top up mohon solusinya ,0
44,,,driver ramah,1
