old,new
 makanan , makan 
 pedagang , dagang 
 membeli , beli 
 berjalan , jalan 
 menawar , tawar 
 menjual , jual 
 menemukan , temu 
 penjual , jual 
 mengunjungi , kunjung 
 terkenal , kenal 
 berkunjung , kunjung 
 pejalan , jalan 
 memiliki , milik 
 dikunjungi , kunjung 
 perbelanjaan , belanja 
 harganya , harga 
 menyenangkan , senang 
 dijual , jual 
 pengunjung , kunjung 
 mencari , cari 
 tersedia , sedia 
 jajanan , jajan 
 berjualan , jual 
 disana , sana 
 ditawarkan , tawar 
 disepanjang , panjang 
 terbaik , sangat baik 
 pilihan , pilih 
 mencoba , coba 
 dipenuhi , penuh 
 kunjungi , kunjung 
 tempatnya , tempat 
 berbeda , beda 
 menawarkan , tawar 
 kunjungan , kunjung 
 perjalanan , jalan 
 dagangan , dagang 
 ditawar , tawar 
 menyusuri , susur 
 jualan , jual 
 membawa , bawa 
 menyempatkan , sempat 
 berjalanjalan , jalan 
 kehidupan , hidup 
 berfoto , foto 
 disediakan , sedia 
 menjajakan , jual 
 disarankan , saran 
 perbaikan , benah 
 menghabiskan , habis 
 merasakan , rasa 
 pastikan , pasti 
 tersendiri , sendiri 
 berlibur , libur 
 banyaknya , banyak 
 sayangnya , sayang 
 penjaja , jual 
 kebanyakan , banyak 
 bepergian , pergi 
 ditambah , tambah 
 melewati , lewat 
 kesana , sana 
 pertokoan , toko 
 dagangannya , dagang 
 berkeliling , keliling 
 kesenian , seni 
 merekomendasikan , rekomendasi 
 menjelajahi , jelajah 
 berbelanja , belanja 
 jelanan , jalan 
 wisatawan , wisata 
 tawarkan , tawar 
 maluin , malu 
 sistemnya , sistem 
 dipertahankan , tahan 
 diterapkan , terap 
 merendahkan , rendah 
 berlakukan , laku 
 dijodohin , jodoh 
 sekolahan , sekolah 
 merendahkan , rendah 
 namanya , nama 
 pembagian , bagi 
 ributin , ribut 
 bapaknya , bapak 
 permutualan , mutual 
 kelakuanmu , kelakuan 
 kangenan , kangen 
 daerahku , daerah 
 daerahmu , daerah 
 ngajaq , ajak 
 wktu , waktu 
 diadakan , ada 
 berjuang , juang 
 matian , mati 
 mengajarkan , ajar 
 mti , mati 
 membuatku , buat 
 pemindahan , pindah 
 bakarnya , bakar 
 budak , anak 
 sblm , belum 
 sblum, belum 
 menghinanya , hina 
 menghina , hina 
 gw , saya 
 gwe , saya 
 sya , saya 
 syaaaa , saya 
 aku , saya 
 akuuu , saya 
 akuu , saya 
 kulo , saya 
 aq , saya 
 berharap , harap 
 betol , betul 
 ditolak , tolak 
 menghinanya , hina 
 menghina , hina 
 gue , saya 
 ak , saya 
 ku , saya 
 terdekat , dekat 
 membangun , bangun 
 sklh , sekolah 
 gegara , gara 
 skolah , sekolah 
 sklah , sekolah 
 dimata , mata 
 nemnya , nem 
 ga , tidak 
 keinget , ingat 
 hubungan , hubung 
 pikir , fikir 
 proud , bangga 
 alasannya , alasan 
 lamaran , lamar 
 perhitungan , hitung 
 ditawarin , tawar 
